experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,3,0.2,0.30000000000000004,74,0.2541227229043207,0.1891891891891892
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,4,0.30000000000000004,0.4,52,0.3507570331250037,0.3269230769230769
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,5,0.4,0.5,53,0.4589252511725786,0.2641509433962264
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,6,0.5,0.6000000000000001,58,0.5514062088700432,0.2413793103448276
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,7,0.6000000000000001,0.7000000000000001,61,0.6460446390436705,0.29508196721311475
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,8,0.7000000000000001,0.8,81,0.751466815101432,0.3950617283950617
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,9,0.8,0.9,145,0.8570303185730277,0.30344827586206896
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,10,0.9,1.0,5514,0.9966223782945345,0.8197315923104824
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,1,0.0,0.1,4433,0.006859879399082247,0.009474396571170765
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,2,0.1,0.2,279,0.14343191337518077,0.14336917562724014
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,3,0.2,0.30000000000000004,158,0.241205076958804,0.25316455696202533
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,4,0.30000000000000004,0.4,0,,
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,5,0.4,0.5,128,0.47825964997657994,0.4765625
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,6,0.5,0.6000000000000001,105,0.5551958717424145,0.5238095238095238
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,7,0.6000000000000001,0.7000000000000001,129,0.6482272844078923,0.7286821705426356
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,8,0.7000000000000001,0.8,123,0.7463233409994271,0.7560975609756098
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,9,0.8,0.9,134,0.8723261572481688,0.8582089552238806
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_gini,10,0.9,1.0,4511,0.9965846986377798,0.9931279095544225
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_entropy,1,0.0,0.1,4535,0.006990945495049925,0.010804851157662623
temporal_holdout,Session-preserving time-ordered holdout,decision_tree_entropy,2,0.1,0.2,217,0.1482679776330459,0.17511520737327188
